,DroppingNode,DummyID,DummyType,DummyTimeLeft,DummyDelay,DummyRoute,DummyPr
35,8,d_6_16,Dummy,0,"[0, 0, 0.15946471737446985, 0.8290425155858948, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 64]","[2.2955641407735536e-11, 2.861790295498474e-08, 8.95104271329313e-06, 0.001279467597266352, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36,7,d_4_12,Dummy,0,"[0, 0, 0.19974429790629797, 0.41211650187455723, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 39]","[3.9511131640444086e-11, 1.0751511694349777e-08, 4.601221640719757e-06, 0.0014905532667668037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,7,d_4_11,Dummy,0,"[0, 0, 1.1084693295887298, 0.1267133622974005, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 0]","[1.5869763961357012e-11, 4.345424159218049e-09, 1.908688114635207e-06, 0.0006596551964273835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38,9,d_6_17,Dummy,0,"[0, 0, 0.1747267060497646, 0.08048376375855541, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 24]","[2.4235676765720453e-12, 3.0083146566418597e-09, 1.0104919186681246e-06, 0.0002092838248093894, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,8,d_6_18,Dummy,0,"[0, 0, 0.2529971422689664, 0.007086911196828654, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 75]","[9.433857499796433e-13, 1.1731497687182361e-09, 3.969903865381304e-07, 8.560284398133165e-05, 0.014055208860403668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,9,d_6_19,Dummy,0,"[0, 0, 0.030553489817929994, 0.22482059056214038, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 59]","[4.485791000609126e-13, 5.589364248059061e-10, 1.899282602532969e-07, 4.201832665736943e-05, 0.012490916843840127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,7,d_4_13,Dummy,0,"[0, 0, 0.04846361357567328, 0.028261976410149565, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 95]","[1.5240677600944119e-12, 4.201336347393435e-10, 1.901068819090136e-07, 7.019708458437544e-05, 0.01154462730639008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
42,9,d_6_20,Dummy,0,"[0, 0, 0.7339191707538689, 0.684754185002367, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 9, corrupt: False ), Client id: 26]","[1.426141295410258e-14, 1.7877579860788213e-11, 6.922420424205211e-09, 2.33785175190992e-06, 0.0024880372925203506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
43,9,d_4_14,Dummy,0,"[0, 0, 0.035532392862420874, 0.141777385243298, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 31]","[2.8972431724150885e-14, 8.141970474832992e-12, 3.975616641137224e-09, 1.6983853088490025e-06, 0.0008507275132250724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
44,8,d_6_21,Dummy,0,"[0, 0, 0.033749584274124916, 0.06421147535841708, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 14]","[5.066175850930361e-15, 6.394936599310302e-12, 2.4590970961966945e-09, 8.304905079671033e-07, 0.0010243378578126828, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
45,7,d_4_15,Dummy,0,"[0, 0, 0.07623859794796799, 0.4045133057226692, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 13]","[1.0888482850975963e-14, 3.0668813906715187e-12, 1.5483501542427462e-09, 6.928528464912861e-07, 0.0003624207841434269, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
46,9,d_5_11,Dummy,0,"[0, 0, 0.11264434760881478, 0.6056650539945878, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 9, corrupt: False ), Client id: 76]","[5.72837506442819e-16, 4.509014108208211e-13, 1.6546213067078127e-10, 9.274322053942986e-08, 2.442601043612556e-05, 0.003800044153898586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47,8,d_4_16,Dummy,0,"[0, 0, 0.8133996239907784, 0.044032760696634116, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 36]","[3.097793548391834e-16, 8.865955735409971e-14, 5.067933819059388e-11, 2.638144771636271e-08, 1.730185242424838e-05, 0.004984410665588757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48,7,d_6_22,Dummy,0,"[0, 0, 0.1696065987288615, 0.146387724231771, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 88]","[1.5601646992385147e-16, 1.937520795897838e-13, 8.263470998891917e-11, 3.340097961557589e-08, 3.50706252998229e-05, 0.006534638824249829, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,7,d_4_17,Dummy,0,"[0, 0, 0.6431304736877691, 0.19578445936306085, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 1]","[8.150512723019816e-17, 2.3317588675357526e-14, 1.4320154084772735e-11, 7.933332173756275e-09, 4.8969739035237575e-06, 0.0026760858868845644, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
