,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
706,8_60,Real,68.51469060885924,"[1.2208710726969456, 0.1426072052833719, 0.311621487436363, 0.27526941898025287, 0]","[Client id: 8, ( id: 7, corrupt: False ), ( id: 90, corrupt: False ), ( id: 134, corrupt: False ), Client id: 9]"
707,1_73,Real,68.5660742087533,"[0.5975326745420555, 0.0758086791283094, 0.3083169620566941, 1.1083957774817155, 0]","[Client id: 1, ( id: 37, corrupt: False ), ( id: 56, corrupt: False ), ( id: 106, corrupt: False ), Client id: 6]"
708,1_74,Real,68.74215314342857,"[0.1760789346752577, 0.38750863219632753, 0.03192322388835964, 0.35934280140348396, 0]","[Client id: 1, ( id: 36, corrupt: False ), ( id: 95, corrupt: False ), ( id: 111, corrupt: False ), Client id: 8]"
709,6_73,Real,68.76277650388536,"[0.46937206969332057, 0.005908639095312726, 0.0829774826737495, 0.06359485630694386, 0]","[Client id: 6, ( id: 27, corrupt: False ), ( id: 52, corrupt: False ), ( id: 119, corrupt: False ), Client id: 3]"
710,3_89,Real,68.93550351804738,"[1.5028992617601913, 0.04217488063596255, 0.21948127549747037, 0.11408201103854702, 0]","[Client id: 3, ( id: 17, corrupt: False ), ( id: 85, corrupt: False ), ( id: 138, corrupt: False ), Client id: 2]"
711,5_85,Real,69.19886153279364,"[1.028287623382155, 0.33460054772076714, 0.27293087319494286, 0.5663541015829987, 0]","[Client id: 5, ( id: 9, corrupt: False ), ( id: 80, corrupt: False ), ( id: 145, corrupt: False ), Client id: 8]"
712,4_76,Real,69.36921262255987,"[1.4564517772992254, 0.03448771265927443, 0.2542423839637054, 0.2667527823890194, 0]","[Client id: 4, ( id: 8, corrupt: False ), ( id: 66, corrupt: False ), ( id: 129, corrupt: False ), Client id: 3]"
713,6_74,Real,69.69904654457618,"[0.9362700406908187, 0.5464498550465302, 0.14451793191379783, 0.4651681618216905, 0]","[Client id: 6, ( id: 26, corrupt: False ), ( id: 83, corrupt: False ), ( id: 130, corrupt: False ), Client id: 5]"
714,9_62,Real,69.76123488824894,"[1.4840697630506252, 0.014016506760778105, 0.013643496444734065, 0.06014925899391782, 0]","[Client id: 9, ( id: 7, corrupt: False ), ( id: 89, corrupt: False ), ( id: 139, corrupt: False ), Client id: 7]"
715,4_77,Real,69.8699838616468,"[0.5007712390869318, 0.1228550915108933, 0.14382853029889525, 0.09787747316118629, 0]","[Client id: 4, ( id: 13, corrupt: False ), ( id: 86, corrupt: False ), ( id: 105, corrupt: False ), Client id: 3]"
